label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.804133579,None,1-$input700.Red,,,False,False
input700.Red,2.00E-01,None,None,0.4,0,False,True
input700.RC,0.195866421,0.08457915,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.202333249,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.117791497,0.000248022,None,,0,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,,False,False
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.045228569,None,None,,0,False,False
rates.ToRP2FromBulk,0.045228569,0.000127117,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.632119031,0.000481151,None,,0,False,True
scale.670TR2,0.947571419,0.001516294,None,,0,False,True
scale.700TR2,0.680929563,0.001211751,None,,0,False,True
irf.center2,0.362962077,0.00057755,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.578985283,0.000573499,None,,0,False,True
irf.width1,0.160965041,0.000338592,None,,0,False,True
input670.Ant1,0.88149637,None,None,,,False,False
input670.Bulk,0.996171846,None,1-$input670.Red,,,False,False
input670.Red,0.05,None,None,0.15,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.003828154,0.002826812,None,0.1,0,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
